TimeStamp, CellandDirection, BSSID, SSID, Strength
1520603379764,C2,50:0f:80:c4:5f:6d,tudelft-dastud, -88
1520603379764,C2,38:90:a5:91:74:1f,eduroam, -89
1520603379764,C2,50:0f:80:c4:5f:6e,TUvisitor, -90
1520603379764,C2,38:90:a5:20:e9:0d,tudelft-dastud, -52
1520603379764,C2,38:90:a5:20:f0:fe,TUvisitor, -63
1520603379764,C2,50:0f:80:fd:84:4d,tudelft-dastud, -87
1520603379764,C2,50:0f:80:c4:60:0d,tudelft-dastud, -75
1520603379764,C2,38:90:a5:37:40:80,eduroam, -73
1520603379764,C2,50:0f:80:fd:7f:bf,eduroam, -66
1520603379764,C2,50:0f:80:e3:79:6f,eduroam, -88
1520603379764,C2,38:90:a5:91:74:1d,tudelft-dastud, -89
1520603379764,C2,50:0f:80:fd:7f:bd,tudelft-dastud, -66
1520603379764,C2,e0:3f:49:09:d9:9c,TRIBLER, -90
1520603379764,C2,38:90:a5:20:e9:02,tudelft-dastud, -45
1520603379764,C2,38:90:a5:20:f0:ff,eduroam, -63
1520603379764,C2,38:90:a5:20:e9:00,eduroam, -44
1520603379764,C2,50:0f:80:e3:7a:f2,tudelft-dastud, -76
1520603379764,C2,50:0f:80:fd:7f:be,TUvisitor, -66
1520603379764,C2,38:90:a5:9d:1a:ee,TUvisitor, -89
1520603379764,C2,38:90:a5:20:f0:fd,tudelft-dastud, -62
1520603379764,C2,38:90:a5:37:40:82,tudelft-dastud, -73
1520603379764,C2,50:0f:80:e3:7a:fe,TUvisitor, -82
1520603379764,C2,50:0f:80:fd:6d:72,tudelft-dastud, -77
1520603379764,C2,38:90:a5:20:f0:f1,TUvisitor, -74
1520603379764,C2,38:90:a5:91:74:10,eduroam, -73
1520603379764,C2,50:0f:80:c4:5f:61,TUvisitor, -78
1520603379764,C2,38:90:a5:8c:90:ef,eduroam, -90
1520603379764,C2,50:0f:80:fd:7f:b2,tudelft-dastud, -64
1520603379764,C2,38:90:a5:20:e9:0f,eduroam, -52
1520603379764,C2,50:0f:80:fd:7f:b1,TUvisitor, -64
1520603379764,C2,38:90:a5:37:46:9e,TUvisitor, -88
1520603379764,C2,50:0f:80:fd:84:4f,eduroam, -88
1520603379764,C2,38:90:a5:37:42:df,eduroam, -84
1520603379764,C2,38:90:a5:8c:90:ed,tudelft-dastud, -88
1520603379764,C2,50:0f:80:e3:7a:ff,eduroam, -83
1520603379764,C2,38:90:a5:20:e9:0e,TUvisitor, -52
1520603379764,C2,50:0f:80:fd:7f:b0,eduroam, -63
1520603379764,C2,50:0f:80:e3:79:6e,TUvisitor, -88
