TimeStamp, CellandDirection, BSSID, SSID, Strength
1520604705710,C7,38:90:a5:37:40:8d,tudelft-dastud, -73
1520604705710,C7,50:0f:80:c4:5f:6d,tudelft-dastud, -86
1520604705710,C7,50:0f:80:c4:5f:6e,TUvisitor, -87
1520604705710,C7,38:90:a5:20:e9:0d,tudelft-dastud, -73
1520604705710,C7,38:90:a5:20:f0:fe,TUvisitor, -79
1520604705710,C7,38:90:a5:37:40:80,eduroam, -62
1520604705710,C7,38:90:a5:8c:7c:d1,TUvisitor, -73
1520604705710,C7,38:90:a5:37:40:8e,TUvisitor, -72
1520604705710,C7,50:0f:80:e3:79:62,tudelft-dastud, -59
1520604705710,C7,50:0f:80:e3:79:6d,tudelft-dastud, -67
1520604705710,C7,50:0f:80:e3:79:6f,eduroam, -68
1520604705710,C7,50:0f:80:fd:7f:bd,tudelft-dastud, -88
1520604705710,C7,38:90:a5:20:e9:02,tudelft-dastud, -61
1520604705710,C7,38:90:a5:20:f0:ff,eduroam, -76
1520604705710,C7,38:90:a5:8c:7c:d0,eduroam, -75
1520604705710,C7,50:0f:80:fd:7f:51,TUvisitor, -79
1520604705710,C7,38:90:a5:20:e9:00,eduroam, -59
1520604705710,C7,50:0f:80:fd:7f:be,TUvisitor, -89
1520604705710,C7,38:90:a5:20:f0:fd,tudelft-dastud, -78
1520604705710,C7,50:0f:80:c0:ce:2e,TUvisitor, -88
1520604705710,C7,38:90:a5:37:40:82,tudelft-dastud, -62
1520604705710,C7,50:0f:80:e3:79:60,eduroam, -59
1520604705710,C7,50:0f:80:e3:74:20,eduroam, -79
1520604705710,C7,50:0f:80:e3:74:21,TUvisitor, -74
1520604705710,C7,38:90:a5:91:7f:8d,tudelft-dastud, -92
1520604705710,C7,50:0f:80:e3:74:2f,eduroam, -89
1520604705710,C7,38:90:a5:37:40:8f,eduroam, -72
1520604705710,C7,38:90:a5:8c:7c:d2,tudelft-dastud, -74
1520604705710,C7,50:0f:80:c0:ce:2f,eduroam, -88
1520604705710,C7,50:0f:80:ee:6d:5d,tudelft-dastud, -85
1520604705710,C7,38:90:a5:91:7f:8f,eduroam, -91
1520604705710,C7,38:90:a5:20:e9:0f,eduroam, -73
1520604705710,C7,50:0f:80:e3:74:22,tudelft-dastud, -74
1520604705710,C7,38:90:a5:8c:7c:dd,tudelft-dastud, -87
1520604705710,C7,50:0f:80:fd:7f:b1,TUvisitor, -78
1520604705710,C7,50:0f:80:e3:74:2d,tudelft-dastud, -90
1520604705710,C7,38:90:a5:37:42:df,eduroam, -44
1520604705710,C7,50:0f:80:e3:79:6e,TUvisitor, -69
1520604705710,C7,38:90:a5:20:e9:0e,TUvisitor, -72
1520604705710,C7,50:0f:80:fd:7f:b0,eduroam, -77
1520604705710,C7,50:0f:80:e3:74:2e,TUvisitor, -88
1520604705710,C7,38:90:a5:8c:7c:df,eduroam, -87
1520604705710,C7,38:90:a5:20:e9:01,TUvisitor, -60
1520604705710,C7,50:0f:80:e3:79:61,TUvisitor, -59
1520604705710,C7,38:90:a5:8c:7c:de,TUvisitor, -87
